date,nav,source,daily_growth_pct,acc_nav
2019-12-03,1.6374,akshare_fund_open_fund_info_em,0.2265,1.6874
2019-12-04,1.638,akshare_fund_open_fund_info_em,0.0366,1.688
2019-12-05,1.6495,akshare_fund_open_fund_info_em,0.7021,1.6995
2019-12-06,1.6594,akshare_fund_open_fund_info_em,0.6002,1.7094
2019-12-09,1.6549,akshare_fund_open_fund_info_em,-0.2712,1.7049
2019-12-10,1.6598,akshare_fund_open_fund_info_em,0.2961,1.7098
2019-12-11,1.6494,akshare_fund_open_fund_info_em,-0.6266,1.6994
2019-12-12,1.6509,akshare_fund_open_fund_info_em,0.0909,1.7009
2019-12-13,1.6689,akshare_fund_open_fund_info_em,1.0903,1.7189
2019-12-16,1.6663,akshare_fund_open_fund_info_em,-0.1558,1.7163
2019-12-17,1.6781,akshare_fund_open_fund_info_em,0.7082,1.7281
2019-12-18,1.6728,akshare_fund_open_fund_info_em,-0.3158,1.7228
2019-12-19,1.6671,akshare_fund_open_fund_info_em,-0.3407,1.7171
2019-12-20,1.6593,akshare_fund_open_fund_info_em,-0.4679,1.7093
2019-12-23,1.6493,akshare_fund_open_fund_info_em,-0.6027,1.6993
2019-12-24,1.6608,akshare_fund_open_fund_info_em,0.6973,1.7108
2019-12-25,1.6669,akshare_fund_open_fund_info_em,0.3673,1.7169
2019-12-26,1.6791,akshare_fund_open_fund_info_em,0.7319,1.7291
2019-12-27,1.6823,akshare_fund_open_fund_info_em,0.1906,1.7323
2019-12-30,1.6894,akshare_fund_open_fund_info_em,0.422,1.7394
2019-12-31,1.7072,akshare_fund_open_fund_info_em,1.0536,1.7572
2020-01-02,1.7152,akshare_fund_open_fund_info_em,0.4686,1.7652
2020-01-03,1.7131,akshare_fund_open_fund_info_em,-0.1224,1.7631
2020-01-06,1.7199,akshare_fund_open_fund_info_em,0.3969,1.7699
2020-01-07,1.7499,akshare_fund_open_fund_info_em,1.7443,1.7999
2020-01-08,1.7343,akshare_fund_open_fund_info_em,-0.8915,1.7843
2020-01-09,1.7476,akshare_fund_open_fund_info_em,0.7669,1.7976
2020-01-10,1.7597,akshare_fund_open_fund_info_em,0.6924,1.8097
2020-01-13,1.7857,akshare_fund_open_fund_info_em,1.4775,1.8357
2020-01-14,1.7708,akshare_fund_open_fund_info_em,-0.8344,1.8208
2020-01-15,1.7804,akshare_fund_open_fund_info_em,0.5421,1.8304
2020-01-16,1.7829,akshare_fund_open_fund_info_em,0.1404,1.8329
2020-01-17,1.7776,akshare_fund_open_fund_info_em,-0.2973,1.8276
2020-01-20,1.7987,akshare_fund_open_fund_info_em,1.187,1.8487
2020-01-21,1.8014,akshare_fund_open_fund_info_em,0.1501,1.8514
2020-01-22,1.7977,akshare_fund_open_fund_info_em,-0.2054,1.8477
2020-01-23,1.7386,akshare_fund_open_fund_info_em,-3.2875,1.7886
2020-02-03,1.6434,akshare_fund_open_fund_info_em,-5.4757,1.6934
2020-02-04,1.7152,akshare_fund_open_fund_info_em,4.369,1.7652
2020-02-05,1.7506,akshare_fund_open_fund_info_em,2.0639,1.8006
2020-02-06,1.7966,akshare_fund_open_fund_info_em,2.6277,1.8466
2020-02-07,1.8044,akshare_fund_open_fund_info_em,0.4342,1.8544
2020-02-10,1.8322,akshare_fund_open_fund_info_em,1.5407,1.8822
2020-02-11,1.8413,akshare_fund_open_fund_info_em,0.4967,1.8913
2020-02-12,1.8751,akshare_fund_open_fund_info_em,1.8357,1.9251
2020-02-13,1.877,akshare_fund_open_fund_info_em,0.1013,1.927
2020-02-14,1.8875,akshare_fund_open_fund_info_em,0.5594,1.9375
2020-02-17,1.9203,akshare_fund_open_fund_info_em,1.7377,1.9703
2020-02-18,1.9496,akshare_fund_open_fund_info_em,1.5258,1.9996
2020-02-19,1.9487,akshare_fund_open_fund_info_em,-0.0462,1.9987
2020-02-20,1.9772,akshare_fund_open_fund_info_em,1.4625,2.0272
2020-02-21,1.9873,akshare_fund_open_fund_info_em,0.5108,2.0373
2020-02-24,2.0234,akshare_fund_open_fund_info_em,1.8165,2.0734
2020-02-25,2.0504,akshare_fund_open_fund_info_em,1.3344,2.1004
2020-02-26,1.9913,akshare_fund_open_fund_info_em,-2.8824,2.0413
2020-02-27,2.0109,akshare_fund_open_fund_info_em,0.9843,2.0609
2020-02-28,1.9613,akshare_fund_open_fund_info_em,-2.4666,2.0113
2020-03-02,2.0153,akshare_fund_open_fund_info_em,2.7533,2.0653
2020-03-03,2.0413,akshare_fund_open_fund_info_em,1.2901,2.0913
2020-03-04,2.0508,akshare_fund_open_fund_info_em,0.4654,2.1008
2020-03-05,2.0914,akshare_fund_open_fund_info_em,1.9797,2.1414
2020-03-06,2.0888,akshare_fund_open_fund_info_em,-0.1243,2.1388
2020-03-09,2.0445,akshare_fund_open_fund_info_em,-2.1208,2.0945
2020-03-10,2.0717,akshare_fund_open_fund_info_em,1.3304,2.1217
